k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
5,257398.0,258426,1028,2.009016275405884,0.03453421592712402
6,254325.0,258426,4101,2.026921272277832,0.13876056671142578
7,258426.0,258426,0,2.1288840770721436,0.006101131439208984
8,258426.0,258426,0,2.4968903064727783,0.0005202293395996094
9,258426.0,258426,0,2.884941339492798,4.673004150390625e-05
10,258426.0,258426,0,3.5300228595733643,0.0001800060272216797
11,258426.0,258426,0,4.129729747772217,0.001062154769897461
12,258426.0,258426,0,3.8389127254486084,0.0020248889923095703
13,258426.0,258426,0,4.146975517272949,0.0023713111877441406
14,258426.0,258426,0,4.19619345664978,0.0031828880310058594
15,258426.0,258426,0,3.910348892211914,0.006059885025024414
16,258426.0,258426,0,4.155168294906616,0.0065746307373046875
17,258426.0,258426,0,3.916559934616089,0.00589299201965332
18,258426.0,258426,0,4.22535252571106,0.006214141845703125
19,258426.0,258426,0,4.366869926452637,0.006262779235839844
20,258426.0,258426,0,4.408531665802002,0.008460760116577148
21,258426.0,258426,0,4.436075210571289,0.011901617050170898
22,258426.0,258426,0,4.520846843719482,0.00782012939453125
23,258426.0,258426,0,4.171034336090088,0.0118560791015625
24,258426.0,258426,0,4.0509233474731445,0.01215505599975586
25,258426.0,258426,0,4.3476881980896,0.012113809585571289
26,258426.0,258426,0,4.415547609329224,0.012204408645629883
27,258426.0,258426,0,4.432944059371948,0.013082742691040039
28,258426.0,258426,0,4.046587705612183,0.012341737747192383
29,258426.0,258426,0,4.369464635848999,0.012021780014038086
30,258426.0,258426,0,4.4025750160217285,0.030735492706298828
31,258426.0,258426,0,4.493992567062378,0.011906623840332031
32,258426.0,258426,0,4.1448073387146,0.29292726516723633
33,258426.0,258426,0,4.067893981933594,0.2830829620361328
34,258426.0,258426,0,4.291714668273926,0.285142183303833
35,258426.0,258426,0,3.875826358795166,0.28246116638183594
36,258426.0,258426,0,4.19067907333374,0.6274056434631348
37,258426.0,258426,0,3.856238842010498,0.6080119609832764
38,258426.0,258426,0,3.8492610454559326,0.632418155670166
39,258426.0,258426,0,4.108778715133667,0.6281020641326904
40,258426.0,258426,0,3.8329875469207764,0.6060924530029297
41,258426.0,258426,0,4.138029098510742,0.6264052391052246
42,258426.0,258426,0,3.825289249420166,0.6207478046417236
43,258426.0,258426,0,3.765441417694092,0.6295888423919678
44,258426.0,258426,0,4.095479726791382,0.6286053657531738
45,258426.0,258426,0,3.764524221420288,0.6410331726074219
46,258426.0,258426,0,4.081791639328003,0.6273984909057617
47,258426.0,258426,0,3.773911952972412,0.63747239112854
48,258426.0,258426,0,4.0483808517456055,0.6300148963928223
49,258426.0,258426,0,3.789588689804077,0.6368052959442139
50,258426.0,258426,0,3.724891424179077,0.6284816265106201
51,258426.0,258426,0,4.026228427886963,0.6366040706634521
52,258426.0,258426,0,3.701479196548462,0.6173655986785889
53,258426.0,258426,0,3.997310161590576,0.6146917343139648
54,258426.0,258426,0,3.671933650970459,0.6284313201904297
55,258426.0,258426,0,3.5903432369232178,0.6004021167755127
56,258426.0,258426,0,3.827256202697754,0.6230525970458984
57,258426.0,258426,0,3.8520567417144775,0.5979053974151611
58,258426.0,258426,0,3.9246482849121094,0.5863633155822754
59,258426.0,258426,0,3.647919178009033,0.6097440719604492
60,258426.0,258426,0,3.5303170680999756,0.6030709743499756
61,258426.0,258426,0,3.777050018310547,0.5810627937316895
62,258426.0,258426,0,3.8220486640930176,0.5888655185699463
63,258426.0,258426,0,3.496098279953003,0.595695972442627
64,258426.0,258426,0,3.7254340648651123,0.5654046535491943
65,258426.0,258426,0,3.4616687297821045,0.5826241970062256
66,258426.0,258426,0,3.649031400680542,0.5909090042114258
67,258426.0,258426,0,3.707918405532837,0.5751957893371582
68,258426.0,258426,0,3.4251744747161865,0.5823068618774414
69,258426.0,258426,0,3.671440601348877,0.5650792121887207
70,258426.0,258426,0,3.731635570526123,0.5509922504425049
71,258426.0,258426,0,3.42284893989563,0.5591609477996826
72,258426.0,258426,0,3.3464419841766357,0.5557026863098145
73,258426.0,258426,0,3.638200521469116,0.5520462989807129
74,258426.0,258426,0,3.368584156036377,0.5472445487976074
75,258426.0,258426,0,3.29949951171875,0.5521719455718994
76,258426.0,258426,0,3.6188766956329346,0.5508983135223389
77,258426.0,258426,0,3.3415987491607666,0.54323410987854
78,258426.0,258426,0,3.2476754188537598,0.5336294174194336
79,258426.0,258426,0,3.4794042110443115,0.5351383686065674
80,258426.0,258426,0,3.159773826599121,0.5431931018829346
81,258426.0,258426,0,3.3514225482940674,0.5278513431549072
82,258426.0,258426,0,3.343824863433838,0.5256965160369873
83,258426.0,258426,0,3.4385154247283936,0.5364611148834229
84,258426.0,258426,0,3.111239194869995,0.5087213516235352
85,258426.0,258426,0,3.327376365661621,0.5254342555999756
86,258426.0,258426,0,3.3638885021209717,0.5246098041534424
87,258426.0,258426,0,3.0690195560455322,0.4996471405029297
88,258426.0,258426,0,3.272282123565674,0.5130636692047119
89,258426.0,258426,0,3.387317657470703,0.5129721164703369
90,258426.0,258426,0,3.0814812183380127,0.5034105777740479
91,258426.0,258426,0,3.3016533851623535,0.5014631748199463
92,258426.0,258426,0,3.0708625316619873,0.4908945560455322
93,258426.0,258426,0,2.9890997409820557,0.49651050567626953
94,258426.0,258426,0,3.2042675018310547,0.5022363662719727
95,258426.0,258426,0,3.2799205780029297,0.4993553161621094
96,258426.0,258426,0,3.0190768241882324,0.48729801177978516
97,258426.0,258426,0,2.9573612213134766,0.4873807430267334
98,258426.0,258426,0,3.24436092376709,0.4859015941619873
99,258426.0,258426,0,2.930833578109741,0.4514279365539551
100,258426.0,258426,0,2.801358222961426,0.4630732536315918
101,258426.0,258426,0,3.0786261558532715,0.4633359909057617
102,258426.0,258426,0,2.8210275173187256,0.460054874420166
103,258426.0,258426,0,3.0118753910064697,0.47365331649780273
104,258426.0,258426,0,2.8027806282043457,0.4653801918029785
105,258426.0,258426,0,2.9457759857177734,0.4429924488067627
106,258426.0,258426,0,3.004847764968872,0.45964694023132324
107,258426.0,258426,0,2.7475154399871826,0.44205141067504883
108,258426.0,258426,0,2.882340908050537,0.43769335746765137
109,258426.0,258426,0,2.91338849067688,0.43836116790771484
110,258426.0,258426,0,2.9715025424957275,0.44373512268066406
111,258426.0,258426,0,2.7377994060516357,0.4323563575744629
112,258426.0,258426,0,2.678147792816162,0.43831658363342285
113,258426.0,258426,0,2.9126133918762207,0.4320709705352783
114,258426.0,258426,0,2.6598150730133057,0.44980740547180176
115,258426.0,258426,0,2.564321994781494,0.4392092227935791
116,258426.0,258426,0,2.8408663272857666,0.4439373016357422
117,258426.0,258426,0,2.8029770851135254,0.4386923313140869
118,258426.0,258426,0,2.573946475982666,0.43561434745788574
119,258426.0,258426,0,2.5216357707977295,0.43570661544799805
120,258426.0,258426,0,2.722663640975952,0.42645788192749023
121,258426.0,258426,0,2.4961037635803223,0.40207648277282715
122,258426.0,258426,0,2.663147211074829,0.4051957130432129
123,258426.0,258426,0,2.664608955383301,0.39354920387268066
124,258426.0,258426,0,2.4780781269073486,0.3938486576080322
125,258426.0,258426,0,2.654890537261963,0.40366673469543457
126,258426.0,258426,0,2.3979640007019043,0.4090588092803955
127,258426.0,258426,0,2.5935308933258057,0.3894205093383789
128,258426.0,258426,0,2.378416061401367,0.3989572525024414
129,258426.0,258426,0,2.474548816680908,0.3769807815551758
130,258426.0,258426,0,2.542555809020996,0.37475109100341797
131,258426.0,258426,0,2.372347116470337,0.3727762699127197
132,258426.0,258426,0,2.2410812377929688,0.3953831195831299
133,258426.0,258426,0,2.434238910675049,0.36566853523254395
134,258426.0,258426,0,2.476221799850464,0.3627049922943115
135,258426.0,258426,0,2.2161500453948975,0.37493371963500977
136,258426.0,258426,0,2.3581132888793945,0.35670971870422363
137,258426.0,258426,0,2.419598340988159,0.375499963760376
138,258426.0,258426,0,2.1910641193389893,0.3440990447998047
139,258426.0,258426,0,2.3821895122528076,0.3473246097564697
140,258426.0,258426,0,2.1904757022857666,0.3710646629333496
141,258426.0,258426,0,2.154681444168091,0.34006476402282715
142,258426.0,258426,0,2.3080339431762695,0.3581225872039795
143,258426.0,258426,0,2.136460542678833,0.3365159034729004
144,258426.0,258426,0,2.08310866355896,0.3311150074005127
145,258426.0,258426,0,2.2538864612579346,0.3542025089263916
146,258426.0,258426,0,2.1115353107452393,0.32752251625061035
147,258426.0,258426,0,2.0259032249450684,0.32164430618286133
148,258426.0,258426,0,2.2308712005615234,0.3217806816101074
149,258426.0,258426,0,2.067152976989746,0.31577086448669434
150,258426.0,258426,0,1.971543312072754,0.31029534339904785
151,258426.0,258426,0,1.9684600830078125,0.31142115592956543
152,258426.0,258426,0,2.0953176021575928,0.30805253982543945
153,258426.0,258426,0,2.1438212394714355,0.3032364845275879
154,258426.0,258426,0,1.9500274658203125,0.29903721809387207
155,258426.0,258426,0,1.9208154678344727,0.3067324161529541
156,258426.0,258426,0,1.8417456150054932,0.2991762161254883
157,258426.0,258426,0,2.0381150245666504,0.2914896011352539
158,258426.0,258426,0,1.8584213256835938,0.2907290458679199
159,258426.0,258426,0,1.8186488151550293,0.28373193740844727
160,258426.0,258426,0,1.9435608386993408,0.29294633865356445
161,258426.0,258426,0,1.8117332458496094,0.27997398376464844
162,258426.0,258426,0,1.7436959743499756,0.2727336883544922
163,258426.0,258426,0,1.8918581008911133,0.2729332447052002
164,258426.0,258426,0,1.7232248783111572,0.27289533615112305
165,258426.0,258426,0,1.8585219383239746,0.26860713958740234
166,258426.0,258426,0,1.663001298904419,0.26065540313720703
167,258426.0,258426,0,1.863180160522461,0.2586483955383301
168,258426.0,258426,0,1.6656577587127686,0.25311827659606934
169,258426.0,258426,0,1.6510627269744873,0.2542104721069336
170,258426.0,258426,0,1.5992183685302734,0.26899242401123047
171,258426.0,258426,0,1.7101945877075195,0.25057220458984375
172,258426.0,258426,0,1.591073751449585,0.2634439468383789
173,258426.0,258426,0,1.528083086013794,0.2394416332244873
174,258426.0,258426,0,1.673110008239746,0.23951053619384766
175,258426.0,258426,0,1.5117545127868652,0.23491358757019043
176,258426.0,258426,0,1.6610620021820068,0.24789166450500488
177,258426.0,258426,0,1.4964888095855713,0.22608423233032227
