edit_distance,target_sequence_length,output_sequence_length,suffix_array_construction_time,adjacency_matrix_construction_time,sequence_reconstruction_time
0,258426,258426,13.799728631973267,1054.5903708934784,217.81428861618042
0,258426,258426,13.030251264572144,1085.3315501213074,217.79953622817993
0,258426,258426,13.900927543640137,1049.5841994285583,217.85791611671448
0,258426,258426,13.82512879371643,1086.0718657970428,218.1768901348114
0,258426,258426,13.658503293991089,1047.7028081417084,217.89299511909485
0,258426,258426,13.888910293579102,1060.1733846664429,218.8579568862915
0,258426,258426,13.394778966903687,1061.9995012283325,218.008891582489
0,258426,258426,13.893696546554565,1049.5855689048767,218.2774772644043
0,258426,258426,14.050915718078613,1042.2798943519592,218.03688406944275
0,258426,258426,13.759345531463623,1043.553439617157,218.0130832195282
