k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
13,3490,10000,10000,0.07146954536437988,0.31798529624938965
14,0,10000,10000,0.06884574890136719,0.3165266513824463
15,0,10000,10000,0.03588461875915527,0.35750651359558105
16,0,10000,10000,0.03295302391052246,0.3500027656555176
17,0,10000,10000,0.03414416313171387,0.347775936126709
13,3490,10000,10000,0.03343367576599121,0.32532310485839844
14,0,10000,10000,0.07069969177246094,0.3186953067779541
15,0,10000,10000,0.06844615936279297,0.3187448978424072
16,0,10000,10000,0.07209944725036621,0.32146573066711426
17,0,10000,10000,0.03489398956298828,0.36296987533569336
13,3490,10000,10000,0.033834218978881836,0.35434818267822266
14,0,10000,10000,0.033347368240356445,0.35492682456970215
15,0,10000,10000,0.03393912315368652,0.3203883171081543
16,0,10000,10000,0.07479739189147949,0.31935715675354004
17,0,10000,10000,0.06901764869689941,0.3176918029785156
13,3490,10000,10000,0.07068657875061035,0.32231974601745605
14,0,10000,10000,0.03403735160827637,0.3637557029724121
15,0,10000,10000,0.033426523208618164,0.35392022132873535
16,0,10000,10000,0.0330965518951416,0.3553578853607178
17,0,10000,10000,0.03369784355163574,0.31534790992736816
13,3490,10000,10000,0.07348346710205078,0.3182535171508789
14,0,10000,10000,0.06759810447692871,0.3185133934020996
15,0,10000,10000,0.07094860076904297,0.32132959365844727
16,0,10000,10000,0.03373384475708008,0.3646364212036133
17,0,10000,10000,0.03372979164123535,0.3536360263824463
13,3490,10000,10000,0.03336024284362793,0.3530571460723877
14,0,10000,10000,0.033451080322265625,0.31794285774230957
15,0,10000,10000,0.0729670524597168,0.32137513160705566
16,0,10000,10000,0.06846499443054199,0.3196442127227783
17,0,10000,10000,0.07052350044250488,0.3204073905944824
13,3490,10000,10000,0.03383970260620117,0.3649883270263672
14,0,10000,10000,0.033905744552612305,0.3535881042480469
15,0,10000,10000,0.03366899490356445,0.3544750213623047
16,0,10000,10000,0.033608198165893555,0.31789636611938477
17,0,10000,10000,0.07410883903503418,0.31751418113708496
13,3490,10000,10000,0.06778120994567871,0.3185415267944336
14,0,10000,10000,0.0702507495880127,0.3222968578338623
15,0,10000,10000,0.03348684310913086,0.3668951988220215
16,0,10000,10000,0.03342390060424805,0.3552248477935791
17,0,10000,10000,0.03354978561401367,0.3504977226257324
13,3490,10000,10000,0.033780574798583984,0.31676626205444336
14,0,10000,10000,0.07369041442871094,0.31881046295166016
15,0,10000,10000,0.06998968124389648,0.32074475288391113
16,0,10000,10000,0.07169055938720703,0.3205287456512451
17,0,10000,10000,0.0338442325592041,0.3625028133392334
13,3490,10000,10000,0.03422045707702637,0.35487937927246094
14,0,10000,10000,0.03350019454956055,0.35587310791015625
15,0,10000,10000,0.03372812271118164,0.3166961669921875
16,0,10000,10000,0.07462906837463379,0.3204679489135742
17,0,10000,10000,0.06911230087280273,0.32021141052246094
13,3490,10000,10000,0.06872916221618652,0.32354021072387695
