k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
12,362,10000,10000,0.06809020042419434,0.283261775970459
13,0,10000,10000,0.061370849609375,0.3053090572357178
14,0,10000,10000,0.0687720775604248,0.29987645149230957
15,0,10000,10000,0.03188276290893555,0.34706997871398926
16,0,10000,10000,0.03162193298339844,0.3392026424407959
12,362,10000,10000,0.031725406646728516,0.3450963497161865
13,0,10000,10000,0.03132176399230957,0.3076155185699463
14,0,10000,10000,0.06927776336669922,0.30759739875793457
15,0,10000,10000,0.06690096855163574,0.30780553817749023
16,0,10000,10000,0.07100653648376465,0.3040797710418701
12,362,10000,10000,0.032134294509887695,0.35106635093688965
13,0,10000,10000,0.031024456024169922,0.33934521675109863
14,0,10000,10000,0.030013084411621094,0.3437809944152832
15,0,10000,10000,0.03157329559326172,0.30548548698425293
16,0,10000,10000,0.07137727737426758,0.3073282241821289
12,362,10000,10000,0.06885933876037598,0.3091294765472412
13,0,10000,10000,0.07030010223388672,0.30929994583129883
14,0,10000,10000,0.0306398868560791,0.3529319763183594
15,0,10000,10000,0.030586719512939453,0.34123945236206055
16,0,10000,10000,0.02946925163269043,0.34035539627075195
12,362,10000,10000,0.0314488410949707,0.3063476085662842
13,0,10000,10000,0.07052493095397949,0.30629444122314453
14,0,10000,10000,0.06818962097167969,0.3062589168548584
15,0,10000,10000,0.07103252410888672,0.30565547943115234
16,0,10000,10000,0.03071880340576172,0.3515043258666992
12,362,10000,10000,0.03124547004699707,0.34183192253112793
13,0,10000,10000,0.030265331268310547,0.34224534034729004
14,0,10000,10000,0.03167843818664551,0.3053169250488281
15,0,10000,10000,0.07335877418518066,0.30649518966674805
16,0,10000,10000,0.06837964057922363,0.3076646327972412
12,362,10000,10000,0.0706629753112793,0.3098459243774414
13,0,10000,10000,0.030465126037597656,0.35305309295654297
14,0,10000,10000,0.030617713928222656,0.3418149948120117
15,0,10000,10000,0.029850482940673828,0.34029269218444824
16,0,10000,10000,0.03143668174743652,0.30400848388671875
12,362,10000,10000,0.07164406776428223,0.3071725368499756
13,0,10000,10000,0.06844687461853027,0.3085446357727051
14,0,10000,10000,0.0706632137298584,0.3081855773925781
15,0,10000,10000,0.03047490119934082,0.3525271415710449
16,0,10000,10000,0.03092336654663086,0.340501070022583
12,362,10000,10000,0.030513763427734375,0.3390657901763916
13,0,10000,10000,0.03150320053100586,0.3044469356536865
14,0,10000,10000,0.07190752029418945,0.3058769702911377
15,0,10000,10000,0.06856822967529297,0.3085789680480957
16,0,10000,10000,0.06999325752258301,0.30714893341064453
12,362,10000,10000,0.03061509132385254,0.3523118495941162
13,0,10000,10000,0.03109431266784668,0.34177684783935547
14,0,10000,10000,0.030220985412597656,0.34024691581726074
15,0,10000,10000,0.031240224838256836,0.3045952320098877
16,0,10000,10000,0.07184839248657227,0.30713367462158203
12,362,10000,10000,0.06872439384460449,0.307279109954834
13,0,10000,10000,0.07044267654418945,0.30625247955322266
14,0,10000,10000,0.030818462371826172,0.3522531986236572
15,0,10000,10000,0.03110480308532715,0.340700626373291
16,0,10000,10000,0.03028273582458496,0.34052181243896484
12,362,10000,10000,0.03154706954956055,0.3038456439971924
13,0,10000,10000,0.07179999351501465,0.3065338134765625
14,0,10000,10000,0.06913423538208008,0.3062624931335449
15,0,10000,10000,0.07015872001647949,0.3081541061401367
16,0,10000,10000,0.030338764190673828,0.3513622283935547
12,362,10000,10000,0.030666112899780273,0.34110093116760254
13,0,10000,10000,0.0302584171295166,0.341660737991333
14,0,10000,10000,0.03156614303588867,0.3019742965698242
15,0,10000,10000,0.07117676734924316,0.30669403076171875
16,0,10000,10000,0.06916522979736328,0.3092195987701416
12,362,10000,10000,0.07084894180297852,0.3064749240875244
13,0,10000,10000,0.030379056930541992,0.35243916511535645
14,0,10000,10000,0.031117916107177734,0.3414421081542969
15,0,10000,10000,0.03024578094482422,0.3396627902984619
16,0,10000,10000,0.03142833709716797,0.3050870895385742
12,362,10000,10000,0.07129645347595215,0.3072056770324707
13,0,10000,10000,0.06781840324401855,0.30857181549072266
14,0,10000,10000,0.07002830505371094,0.3083968162536621
15,0,10000,10000,0.030472993850708008,0.35169529914855957
16,0,10000,10000,0.03086090087890625,0.33953261375427246
12,362,10000,10000,0.0305483341217041,0.3413066864013672
13,0,10000,10000,0.03125739097595215,0.3033878803253174
14,0,10000,10000,0.07200002670288086,0.3056037425994873
15,0,10000,10000,0.06872677803039551,0.30683135986328125
16,0,10000,10000,0.07043933868408203,0.30614376068115234
12,362,10000,10000,0.03217768669128418,0.35120582580566406
13,0,10000,10000,0.03106546401977539,0.3387486934661865
14,0,10000,10000,0.030350208282470703,0.34287214279174805
15,0,10000,10000,0.031050920486450195,0.3042786121368408
16,0,10000,10000,0.07044816017150879,0.3069627285003662
12,362,10000,10000,0.06942558288574219,0.3080925941467285
13,0,10000,10000,0.07007169723510742,0.30856943130493164
14,0,10000,10000,0.030456066131591797,0.35305261611938477
15,0,10000,10000,0.03085017204284668,0.33971118927001953
16,0,10000,10000,0.030173540115356445,0.33976316452026367
12,362,10000,10000,0.03247570991516113,0.3031773567199707
