k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
13,0,10000,10000,0.034829139709472656,0.3857288360595703
14,0,10000,10000,0.03573870658874512,0.3446164131164551
15,0,10000,10000,0.034290313720703125,0.3075871467590332
16,0,10000,10000,0.0740652084350586,0.3064455986022949
17,0,10000,10000,0.07103109359741211,0.306598424911499
13,0,10000,10000,0.07370185852050781,0.3055763244628906
14,0,10000,10000,0.033383846282958984,0.35135388374328613
15,0,10000,10000,0.03470873832702637,0.3374018669128418
16,0,10000,10000,0.032662391662597656,0.343613862991333
17,0,10000,10000,0.03395390510559082,0.3048250675201416
13,0,10000,10000,0.07478141784667969,0.3092358112335205
14,0,10000,10000,0.07489180564880371,0.30925822257995605
15,0,10000,10000,0.0723581314086914,0.3093271255493164
16,0,10000,10000,0.03239250183105469,0.3593275547027588
17,0,10000,10000,0.03408455848693848,0.34093213081359863
13,0,10000,10000,0.03360295295715332,0.34830689430236816
14,0,10000,10000,0.03367352485656738,0.3058640956878662
15,0,10000,10000,0.07362842559814453,0.30750370025634766
16,0,10000,10000,0.07653570175170898,0.30704355239868164
17,0,10000,10000,0.07170462608337402,0.30194759368896484
13,0,10000,10000,0.03408479690551758,0.35317230224609375
14,0,10000,10000,0.03377199172973633,0.34087443351745605
15,0,10000,10000,0.03292965888977051,0.34766340255737305
16,0,10000,10000,0.03380441665649414,0.3078181743621826
17,0,10000,10000,0.07279014587402344,0.3006713390350342
13,0,10000,10000,0.07214999198913574,0.311765193939209
14,0,10000,10000,0.08016300201416016,0.306715726852417
15,0,10000,10000,0.032985687255859375,0.3549633026123047
16,0,10000,10000,0.033567190170288086,0.3428661823272705
17,0,10000,10000,0.032514333724975586,0.3388786315917969
13,0,10000,10000,0.0350344181060791,0.3099644184112549
14,0,10000,10000,0.0802316665649414,0.30405092239379883
15,0,10000,10000,0.07347869873046875,0.31009435653686523
16,0,10000,10000,0.07333183288574219,0.31091785430908203
17,0,10000,10000,0.03284811973571777,0.3669605255126953
13,0,10000,10000,0.03470015525817871,0.3483614921569824
14,0,10000,10000,0.033334970474243164,0.343886137008667
15,0,10000,10000,0.03433108329772949,0.3068053722381592
16,0,10000,10000,0.07838845252990723,0.30530500411987305
17,0,10000,10000,0.06942439079284668,0.3100006580352783
13,0,10000,10000,0.07403874397277832,0.3106400966644287
14,0,10000,10000,0.03363156318664551,0.3534996509552002
15,0,10000,10000,0.03439664840698242,0.34055089950561523
16,0,10000,10000,0.0334165096282959,0.3407731056213379
17,0,10000,10000,0.03505349159240723,0.3028378486633301
13,0,10000,10000,0.07586312294006348,0.30693984031677246
14,0,10000,10000,0.07066845893859863,0.3134138584136963
15,0,10000,10000,0.07274627685546875,0.30849337577819824
16,0,10000,10000,0.032770633697509766,0.3533763885498047
17,0,10000,10000,0.033635616302490234,0.33768677711486816
13,0,10000,10000,0.03385615348815918,0.3461606502532959
14,0,10000,10000,0.03585982322692871,0.3053901195526123
15,0,10000,10000,0.07565784454345703,0.31011509895324707
16,0,10000,10000,0.07266545295715332,0.3108830451965332
17,0,10000,10000,0.07326197624206543,0.3067917823791504
13,0,10000,10000,0.0334475040435791,0.353839635848999
14,0,10000,10000,0.03574490547180176,0.34284067153930664
15,0,10000,10000,0.03466081619262695,0.3440275192260742
16,0,10000,10000,0.03515052795410156,0.3066267967224121
17,0,10000,10000,0.07375240325927734,0.3067343235015869
13,0,10000,10000,0.0717318058013916,0.31504082679748535
14,0,10000,10000,0.0741567611694336,0.3098423480987549
15,0,10000,10000,0.03327655792236328,0.3561117649078369
16,0,10000,10000,0.03460884094238281,0.34645509719848633
17,0,10000,10000,0.03322196006774902,0.3407151699066162
13,0,10000,10000,0.034726619720458984,0.30867815017700195
14,0,10000,10000,0.07472681999206543,0.3057067394256592
15,0,10000,10000,0.07077169418334961,0.31116414070129395
16,0,10000,10000,0.0735785961151123,0.3107171058654785
17,0,10000,10000,0.03304791450500488,0.34781694412231445
13,0,10000,10000,0.034210205078125,0.3464837074279785
14,0,10000,10000,0.03336167335510254,0.34237027168273926
15,0,10000,10000,0.03446173667907715,0.3066709041595459
16,0,10000,10000,0.07510685920715332,0.30835771560668945
17,0,10000,10000,0.07062196731567383,0.30774593353271484
13,0,10000,10000,0.07434892654418945,0.3101339340209961
14,0,10000,10000,0.03365755081176758,0.35243892669677734
15,0,10000,10000,0.03466939926147461,0.3449978828430176
16,0,10000,10000,0.033830881118774414,0.3404080867767334
17,0,10000,10000,0.03404355049133301,0.3042917251586914
13,0,10000,10000,0.07556796073913574,0.30753397941589355
14,0,10000,10000,0.07159924507141113,0.3101074695587158
15,0,10000,10000,0.07443094253540039,0.30794763565063477
16,0,10000,10000,0.03527688980102539,0.3539738655090332
17,0,10000,10000,0.033641815185546875,0.3406503200531006
13,0,10000,10000,0.033576250076293945,0.34529876708984375
14,0,10000,10000,0.03479814529418945,0.30706357955932617
15,0,10000,10000,0.07684874534606934,0.3095283508300781
16,0,10000,10000,0.07329440116882324,0.3089931011199951
17,0,10000,10000,0.07371091842651367,0.3047616481781006
13,0,10000,10000,0.03342270851135254,0.35625147819519043
14,0,10000,10000,0.03421211242675781,0.3444674015045166
15,0,10000,10000,0.03297996520996094,0.3437538146972656
16,0,10000,10000,0.03456878662109375,0.30565404891967773
17,0,10000,10000,0.07403302192687988,0.30553317070007324
13,0,10000,10000,0.0757753849029541,0.31119370460510254
14,0,10000,10000,0.07416248321533203,0.3094017505645752
15,0,10000,10000,0.033037424087524414,0.3563203811645508
16,0,10000,10000,0.034117937088012695,0.34690022468566895
17,0,10000,10000,0.03296327590942383,0.33783698081970215
13,0,10000,10000,0.034476518630981445,0.30933332443237305
14,0,10000,10000,0.07364463806152344,0.3065507411956787
15,0,10000,10000,0.07209563255310059,0.31143617630004883
16,0,10000,10000,0.07458639144897461,0.311694860458374
17,0,10000,10000,0.03302764892578125,0.3513791561126709
13,0,10000,10000,0.03408479690551758,0.34137439727783203
14,0,10000,10000,0.03328227996826172,0.343731164932251
15,0,10000,10000,0.03560996055603027,0.30634117126464844
16,0,10000,10000,0.07815194129943848,0.30614614486694336
17,0,10000,10000,0.07131791114807129,0.3104708194732666
13,0,10000,10000,0.0725107192993164,0.3111836910247803
14,0,10000,10000,0.03346657752990723,0.3528742790222168
15,0,10000,10000,0.03378009796142578,0.33959507942199707
16,0,10000,10000,0.034950971603393555,0.34175968170166016
17,0,10000,10000,0.03487205505371094,0.30437350273132324
13,0,10000,10000,0.07534193992614746,0.3071465492248535
14,0,10000,10000,0.07452249526977539,0.30851125717163086
15,0,10000,10000,0.07826972007751465,0.30823493003845215
16,0,10000,10000,0.032441139221191406,0.3535959720611572
17,0,10000,10000,0.033649444580078125,0.3406205177307129
13,0,10000,10000,0.03332161903381348,0.3409297466278076
14,0,10000,10000,0.034262657165527344,0.304091215133667
15,0,10000,10000,0.0751502513885498,0.3099946975708008
16,0,10000,10000,0.07151126861572266,0.3090641498565674
17,0,10000,10000,0.0719916820526123,0.30617570877075195
13,0,10000,10000,0.03467249870300293,0.3511636257171631
14,0,10000,10000,0.03391885757446289,0.34236717224121094
15,0,10000,10000,0.033539772033691406,0.3483240604400635
16,0,10000,10000,0.03415870666503906,0.306002140045166
17,0,10000,10000,0.07375049591064453,0.30544257164001465
13,0,10000,10000,0.07136273384094238,0.3138415813446045
14,0,10000,10000,0.0722663402557373,0.3093407154083252
15,0,10000,10000,0.03395223617553711,0.35444140434265137
16,0,10000,10000,0.03445005416870117,0.34005212783813477
17,0,10000,10000,0.033031463623046875,0.344998836517334
13,0,10000,10000,0.03449678421020508,0.3079874515533447
14,0,10000,10000,0.07342934608459473,0.30803465843200684
15,0,10000,10000,0.07175683975219727,0.3116493225097656
16,0,10000,10000,0.07462930679321289,0.3086709976196289
17,0,10000,10000,0.03348541259765625,0.349684476852417
13,0,10000,10000,0.03577756881713867,0.34223055839538574
14,0,10000,10000,0.03329920768737793,0.34803080558776855
15,0,10000,10000,0.03404068946838379,0.3083672523498535
16,0,10000,10000,0.0739436149597168,0.30615234375
17,0,10000,10000,0.07166790962219238,0.30521726608276367
13,0,10000,10000,0.07244443893432617,0.3106706142425537
14,0,10000,10000,0.033306121826171875,0.3529231548309326
