k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
13,1934,10000,10000,0.07184505462646484,0.31070399284362793
14,0,10000,10000,0.0714118480682373,0.3134787082672119
15,0,10000,10000,0.03446674346923828,0.3597714900970459
16,0,10000,10000,0.030081748962402344,0.33685946464538574
17,0,10000,10000,0.03353571891784668,0.3449075222015381
13,1934,10000,10000,0.032938241958618164,0.31551480293273926
14,0,10000,10000,0.07139039039611816,0.3144681453704834
15,0,10000,10000,0.06814980506896973,0.3156001567840576
16,0,10000,10000,0.07245731353759766,0.3157343864440918
17,0,10000,10000,0.033972978591918945,0.3608412742614746
13,1934,10000,10000,0.03342795372009277,0.3466312885284424
14,0,10000,10000,0.033153533935546875,0.35051918029785156
15,0,10000,10000,0.032720327377319336,0.3119943141937256
16,0,10000,10000,0.07349014282226562,0.3136136531829834
17,0,10000,10000,0.06754064559936523,0.3125593662261963
13,1934,10000,10000,0.06975412368774414,0.314572811126709
14,0,10000,10000,0.033164262771606445,0.3591890335083008
15,0,10000,10000,0.032602548599243164,0.34567713737487793
16,0,10000,10000,0.033345699310302734,0.34908294677734375
17,0,10000,10000,0.033190250396728516,0.31151843070983887
13,1934,10000,10000,0.07298970222473145,0.3132796287536621
14,0,10000,10000,0.06688332557678223,0.31402015686035156
15,0,10000,10000,0.07272076606750488,0.3163294792175293
16,0,10000,10000,0.03252530097961426,0.3624904155731201
17,0,10000,10000,0.03338623046875,0.34340476989746094
13,1934,10000,10000,0.0333096981048584,0.34737563133239746
14,0,10000,10000,0.032552242279052734,0.31378626823425293
15,0,10000,10000,0.07333135604858398,0.3171398639678955
16,0,10000,10000,0.06850290298461914,0.3155202865600586
17,0,10000,10000,0.0699012279510498,0.31432127952575684
13,1934,10000,10000,0.03290700912475586,0.36112165451049805
14,0,10000,10000,0.033066511154174805,0.3497035503387451
15,0,10000,10000,0.0335698127746582,0.3493986129760742
16,0,10000,10000,0.03292107582092285,0.31086230278015137
17,0,10000,10000,0.07396554946899414,0.31177687644958496
13,1934,10000,10000,0.06753754615783691,0.3130815029144287
14,0,10000,10000,0.0703439712524414,0.31374549865722656
15,0,10000,10000,0.032675743103027344,0.36171627044677734
16,0,10000,10000,0.03287816047668457,0.34738779067993164
17,0,10000,10000,0.03356432914733887,0.346097469329834
13,1934,10000,10000,0.03297901153564453,0.3130919933319092
14,0,10000,10000,0.0732417106628418,0.3157520294189453
15,0,10000,10000,0.06945157051086426,0.31420421600341797
16,0,10000,10000,0.0717630386352539,0.31555724143981934
17,0,10000,10000,0.03264474868774414,0.3592183589935303
13,1934,10000,10000,0.0330808162689209,0.34826183319091797
14,0,10000,10000,0.033468008041381836,0.3484001159667969
15,0,10000,10000,0.033219099044799805,0.31011223793029785
16,0,10000,10000,0.0756676197052002,0.31564831733703613
17,0,10000,10000,0.06846356391906738,0.3132760524749756
13,1934,10000,10000,0.0701596736907959,0.31560444831848145
14,0,10000,10000,0.032582759857177734,0.3600883483886719
15,0,10000,10000,0.03314518928527832,0.34813356399536133
16,0,10000,10000,0.034145355224609375,0.349381685256958
17,0,10000,10000,0.03303384780883789,0.3106520175933838
